Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0       0.003
1       0.003
2       0.003
3       0.001
4       0.002
        ...  
3995    0.018
3996    0.018
3997    0.019
3998    0.018
3999    0.017
Name: 2, Length: 4000, dtype: float64",0.121,-0.0006195,0.013056716249111124,0.683276,8.539882514685664e-05,Movement
"0       0.015
1       0.014
2       0.011
3       0.008
4       0.007
        ...  
3995   -0.002
3996   -0.001
3997   -0.001
3998    0.000
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.144,-0.00065675,0.011506542902622511,0.531195,6.639107611548556e-05,Movement
"0       0.001
1       0.001
2       0.003
3       0.003
4       0.003
        ...  
3995    0.002
3996    0.002
3997    0.001
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.099,-0.000598,0.01092239537281864,0.478506,5.980577427821522e-05,Movement
"0       0.000
1      -0.001
2       0.000
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.052,-0.000372,0.0030426025631997023,0.037573999999999996,4.696162979627546e-06,Movement
"0      -0.002
1      -0.002
2      -0.002
3      -0.003
4      -0.003
        ...  
3995   -0.006
3996   -0.006
3997   -0.005
3998   -0.005
3999   -0.004
Name: 2, Length: 4000, dtype: float64",0.098,-0.00064725,0.010517270115394491,0.444017,5.549518810148731e-05,Movement
"0      -0.004
1      -0.004
2      -0.004
3      -0.005
4      -0.005
        ...  
3995    0.002
3996    0.001
3997    0.000
3998   -0.002
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.058,-0.000603,0.006929097639557739,0.19345600000000002,2.4178977627796528e-05,Movement
"0      -0.004
1      -0.004
2      -0.004
3      -0.005
4      -0.006
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.077,-0.00062075,0.005671372016773204,0.13016699999999998,1.6268841394825643e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.105,-0.0006490000000000001,0.005479352591885884,0.12174800000000001,1.5216597925259343e-05,Movement
"0      -0.001
1      -0.002
2      -0.002
3      -0.001
4      -0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.09,-0.00062925,0.004005284635797241,0.06573699999999999,8.21609798775153e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997    0.001
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.084,-0.0006375,0.005103097505538941,0.105766,1.32190976127984e-05,Movement
"0       0.000
1       0.001
2       0.000
3       0.000
4      -0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.083,-0.000615,0.0053077130625617495,0.114172,1.4269716285464317e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.076,-0.00062175,0.004700393639110521,0.089899,1.123597050368704e-05,Movement
"0       0.000
1      -0.001
2       0.000
3       0.000
4       0.000
        ...  
3995    0.000
3996   -0.002
3997   -0.002
3998   -0.001
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.072,-0.000607,0.005080945286189403,0.104712,1.3087364079490064e-05,Movement
"0      -0.004
1      -0.004
2      -0.004
3      -0.003
4      -0.002
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.087,-0.0006275,0.005386232136118535,0.117592,1.469716285464317e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.002
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.059,-0.0003765,0.0028641401108611395,0.033372000000000006,4.170978627671542e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3       0.000
4      -0.001
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.002
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.078,-0.0006212500000000001,0.004920757248683898,0.09837499999999999,1.2295338082739657e-05,Movement
"0       0.002
1       0.001
2       0.001
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.077,-0.00062825,0.004031019004675371,0.06655900000000001,8.3188351456068e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.003
3996    0.003
3997    0.001
3998    0.001
3999    0.003
Name: 2, Length: 4000, dtype: float64",0.074,-0.00061425,0.005206651922642889,0.109919,1.3738157730283715e-05,Movement
"0       0.003
1       0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.079,-0.00062025,0.00512382702072724,0.106527,1.3314210723659542e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.002
        ...  
3995   -0.001
3996   -0.002
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.089,-0.00062,0.005243088068411905,0.11147000000000001,1.3932008498937634e-05,Movement
"0       0.000
1       0.001
2       0.000
3       0.000
4       0.001
        ...  
3995   -0.002
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.095,-0.000611,0.005491558822827644,0.122092,1.5259592550931134e-05,Movement
"0      -0.002
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.098,-0.00060725,0.005409049074511399,0.118477,1.480777402824647e-05,Movement
"0      -0.001
1       0.000
2      -0.001
3       0.000
4      -0.001
        ...  
3995   -0.001
3996    0.000
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.118,-0.0006065,0.0052726281778611595,0.112646,1.4078990126234221e-05,Movement
"0       0.000
1       0.000
2      -0.001
3       0.000
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.002
3998   -0.003
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.083,-0.0006305,0.0050005720853013485,0.10158800000000001,1.2696912885889266e-05,Movement
"0       0.000
1       0.002
2       0.003
3       0.001
4       0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.088,-0.00063225,0.005238069232056785,0.11132099999999999,1.3913385826771652e-05,Movement
"0      -0.001
1       0.000
2      -0.001
3      -0.001
4       0.000
        ...  
3995    0.001
3996    0.000
3997    0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.061,-0.00037475000000000003,0.002653878898103953,0.028727,3.5904261967254093e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996   -0.002
3997   -0.002
3998   -0.003
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.066,-0.00063275,0.004285378461074198,0.075041,9.378952630921134e-06,Movement
"0      -0.003
1      -0.002
2       0.001
3       0.004
4       0.006
        ...  
3995   -0.003
3996   -0.005
3997   -0.006
3998   -0.003
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.081,-0.00060425,0.004759390180077859,0.092045,1.1504186976627922e-05,Movement
"0       0.011
1       0.044
2       0.038
3      -0.007
4      -0.027
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.092,-0.00061325,0.006153221918027427,0.15291499999999997,1.9111986001749778e-05,Movement
"0       0.000
1       0.001
2       0.000
3       0.001
4      -0.001
        ...  
3995   -0.004
3996   -0.003
3997   -0.004
3998   -0.003
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.087,-0.000605,0.006539661060918824,0.17249,2.1558555180602424e-05,Movement
"0      -0.001
1      -0.001
2       0.000
3       0.000
4       0.001
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.001
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.089,-0.00059775,0.006157468923460828,0.153049,1.9128733908261465e-05,Movement
"0       0.003
1       0.001
2       0.001
3       0.000
4       0.000
        ...  
3995    0.001
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.101,-0.000628,0.005964101661370033,0.143824,1.7975753030871142e-05,Movement
"0      -0.001
1      -0.002
2      -0.001
3      -0.001
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.075,-0.00062275,0.004063072676853609,0.067569,8.445069366329209e-06,Movement
"0      -0.001
1      -0.002
2      -0.002
3      -0.002
4      -0.001
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.001
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.103,-0.00059775,0.005946661721832551,0.142845,1.785339332583427e-05,Movement
"0      -0.001
1      -0.001
2      -0.002
3      -0.003
4      -0.004
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.104,-0.000621,0.006719460304719173,0.182102,2.2759905011873517e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.002
4      -0.001
        ...  
3995   -0.027
3996   -0.010
3997    0.004
3998    0.002
3999   -0.009
Name: 2, Length: 4000, dtype: float64",0.109,-0.000624,0.006101510559507125,0.150434,1.8801899762529685e-05,Movement
"0       0.000
1       0.000
2       0.000
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.055,-0.000384,0.0025287630693019,0.026161999999999998,3.2698412698412694e-06,Movement
"0      -0.018
1      -0.008
2       0.007
3       0.004
4      -0.007
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.083,-0.000633,0.004792656193422087,0.093458,1.1680789901262343e-05,Movement
"0       0.000
1       0.000
2       0.000
3      -0.001
4       0.000
        ...  
3995   -0.001
3996   -0.005
3997   -0.007
3998   -0.007
3999   -0.006
Name: 2, Length: 4000, dtype: float64",0.103,-0.00063125,0.007308804833522621,0.215215,2.689851268591426e-05,Movement
"0      -0.005
1      -0.004
2      -0.002
3       0.002
4       0.003
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.083,-0.00059075,0.003101559181256858,0.039865000000000005,4.982502187226597e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.085,-0.0006125,0.004265019501460334,0.074244,9.27934008248969e-06,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.004
3996   -0.003
3997   -0.002
3998   -0.002
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.063,-0.0006295,0.004691506400728557,0.089604,1.1199100112485939e-05,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.073,-0.0006375,0.004814601629129019,0.094324,1.1789026371703537e-05,Movement
"0      -0.001
1      -0.002
2      -0.002
3      -0.002
4      -0.002
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.069,-0.00061875,0.005304567187411377,0.11405699999999999,1.4255343082114735e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.001
3998    0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.075,-0.00063275,0.005269328125313801,0.11263699999999999,1.4077865266841644e-05,Movement
"0       0.000
1       0.001
2       0.000
3      -0.004
4      -0.005
        ...  
3995   -0.001
3996   -0.002
3997   -0.002
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.063,-0.000611,0.004374410002013578,0.078016,9.750781152355956e-06,Movement
"0      -0.002
1      -0.002
2      -0.002
3      -0.001
4      -0.001
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.059,-0.0006305,0.003997494808149886,0.065494,8.18572678415198e-06,Movement
"0       0.0
1       0.0
2       0.0
3       0.0
4       0.0
       ... 
3995    0.0
3996    0.0
3997    0.0
3998    0.0
3999    0.0
Name: 2, Length: 4000, dtype: float64",0.044,-0.00036500000000000004,0.0021079340232705614,0.018302,2.2874640669916257e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.002
3998   -0.002
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.067,-0.0006255,0.004429407936018754,0.080024,1.000174978127734e-05,Movement
"0      -0.003
1      -0.003
2      -0.003
3      -0.003
4      -0.003
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.002
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.092,-0.0006175,0.005932536767532463,0.14227,1.7781527309086364e-05,Movement
"0       0.003
1       0.002
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.002
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.093,-0.00061725,0.005864115397896767,0.139041,1.737795275590551e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996    0.000
3997    0.000
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.065,-0.00062825,0.004753388329671074,0.09193499999999999,1.1490438695163103e-05,Movement
"0       0.000
1       0.000
2       0.000
3      -0.001
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.049,-0.00061125,0.0029663653295433925,0.03668300000000001,4.58480189976253e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3       0.000
4       0.000
        ...  
3995   -0.002
3996   -0.001
3997   -0.002
3998   -0.004
3999   -0.004
Name: 2, Length: 4000, dtype: float64",0.074,-0.0006302500000000001,0.0048937738191551375,0.097361,1.2168603924509437e-05,Movement
"0      -0.003
1      -0.001
2      -0.001
3       0.000
4       0.002
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.074,-0.000608,0.005110417310873234,0.105918,1.3238095238095238e-05,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.072,-0.0006275,0.004207929469181298,0.072384,9.04686914135733e-06,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.073,-0.00061975,0.004414921609802962,0.079483,9.934133233345831e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996   -0.002
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.076,-0.000608,0.004811145682755322,0.09404399999999999,1.1754030746156729e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.000
3996    0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.046,-0.0003725,0.0024622671341387728,0.024800000000000003,3.0996125484314465e-06,Movement
"0      -0.001
1       0.000
2      -0.001
3       0.000
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.067,-0.00061025,0.004416698058837137,0.079499,9.936132983377078e-06,Movement
"0       0.000
1       0.000
2      -0.001
3       0.003
4       0.047
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.075,-0.000614,0.004995372101816731,0.101298,1.2660667416572928e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.065,-0.000608,0.004292661497915241,0.075168,9.39482564679415e-06,Movement
"0      -0.002
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.003
3996   -0.003
3997   -0.003
3998   -0.003
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.087,-0.00061275,0.006051647961362431,0.147955,1.8492063492063493e-05,Movement
"0      -0.002
1      -0.002
2      -0.002
3      -0.001
4       0.000
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.073,-0.00060525,0.005026603139524799,0.10250699999999999,1.281177352830896e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.013
3996   -0.002
3997    0.007
3998    0.000
3999   -0.010
Name: 2, Length: 4000, dtype: float64",0.079,-0.00061725,0.005394907663220351,0.11791499999999999,1.473753280839895e-05,Movement
"0      -0.008
1       0.001
2       0.009
3       0.007
4      -0.003
        ...  
3995   -0.002
3996   -0.001
3997    0.004
3998    0.009
3999    0.006
Name: 2, Length: 4000, dtype: float64",0.077,-0.0005992500000000001,0.0049709483018087015,0.10025300000000001,1.2530058742657169e-05,Movement
"0      -0.002
1      -0.005
2      -0.001
3       0.002
4      -0.001
        ...  
3995   -0.002
3996   -0.002
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.05,-0.0006085,0.0034442260993372427,0.04892,6.114235720534933e-06,Movement
"0      -0.002
1      -0.001
2      -0.001
3       0.000
4       0.001
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.063,-0.000619,0.003713325490251176,0.056674,7.083364579427572e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.073,-0.0006225,0.004891418530836526,0.09723,1.215223097112861e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997    0.000
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.042,-0.00038075,0.0021485887335380106,0.019041000000000002,2.379827521559805e-06,Movement
"0      -0.002
1      -0.001
2      -0.001
3      -0.002
4      -0.002
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.081,-0.00060825,0.005302198625576589,0.113905,1.4236345456817899e-05,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4      -0.001
        ...  
3995    0.000
3996   -0.007
3997   -0.011
3998   -0.007
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.076,-0.00061725,0.005108059857360385,0.10586699999999999,1.323172103487064e-05,Movement
"0       0.003
1      -0.004
2      -0.005
3       0.015
4       0.025
        ...  
3995   -0.002
3996   -0.003
3997   -0.003
3998   -0.003
3999   -0.004
Name: 2, Length: 4000, dtype: float64",0.068,-0.00060275,0.0045774644436285,0.085245,1.0654293213348331e-05,Movement
"0      -0.003
1      -0.003
2      -0.002
3      -0.001
4      -0.001
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.066,-0.0006122500000000001,0.004503884010528587,0.082619,1.0326084239470065e-05,Movement
"0      -0.001
1      -0.001
2      -0.002
3      -0.001
4      -0.002
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.076,-0.0006095,0.005373939854277246,0.116974,1.4619922509686288e-05,Movement
"0      -0.001
1      -0.001
2       0.000
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996    0.000
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.084,-0.000619,0.005008653576827126,0.101854,1.273015873015873e-05,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4       0.000
        ...  
3995    0.001
3996    0.001
3997   -0.001
3998   -0.002
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.074,-0.000597,0.004914888608351987,0.09802599999999999,1.2251718535183101e-05,Movement
"0       0.000
1      -0.001
2      -0.003
3      -0.006
4      -0.006
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.076,-0.0006115,0.00472156129212137,0.090646,1.1329333833270843e-05,Movement
"0       0.000
1       0.000
2       0.000
3      -0.001
4       0.000
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.07,-0.00060825,0.00399352839037751,0.06525700000000001,8.15610548681415e-06,Movement
"0       0.000
1       0.000
2       0.000
3      -0.001
4      -0.001
        ...  
3995    0.001
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.062,-0.00060275,0.0035900089802979123,0.052993,6.623297087864017e-06,Movement
"0       0.000
1       0.000
2      -0.001
3       0.000
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.033,-0.00037675,0.0016049777026041403,0.010869,1.3584551931008623e-06,Movement
"0      -0.001
1      -0.002
2      -0.002
3      -0.004
4      -0.004
        ...  
3995   -0.001
3996   -0.001
3997   -0.002
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.073,-0.0006000000000000001,0.005087285142148942,0.104936,1.311536057992751e-05,Movement
"0      -0.001
1      -0.002
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.001
3996    0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.071,-0.000597,0.005392852836433501,0.117728,1.4714160729908761e-05,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.002
3996    0.002
3997    0.002
3998    0.001
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.064,-0.00059575,0.00480797369899967,0.093863,1.1731408573928259e-05,Movement
"0       0.000
1      -0.001
2      -0.002
3      -0.002
4      -0.002
        ...  
3995   -0.007
3996   -0.006
3997   -0.006
3998   -0.007
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.068,-0.000625,0.0036608367119222674,0.055156000000000004,6.893638295213099e-06,Movement
"0       0.000
1       0.001
2       0.001
3       0.000
4       0.004
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.073,-0.0006155,0.005095306692199391,0.10533799999999999,1.3165604299462565e-05,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4       0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.065,-0.0006090000000000001,0.0048061308475145425,0.093856,1.1730533683289589e-05,Movement
"0      -0.001
1       0.000
2       0.000
3      -0.001
4      -0.001
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.061,-0.00061475,0.004469264594875174,0.08138899999999999,1.0172353455818022e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.002
3996    0.002
3997    0.001
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.056,-0.0005925,0.003975222553340523,0.064598,8.0737407824022e-06,Movement
"0      -0.001
1      -0.002
2       0.000
3       0.002
4       0.001
        ...  
3995   -0.002
3996   -0.002
3997   -0.002
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.058,-0.000613,0.004338022084879494,0.07675799999999999,9.59355080614923e-06,Movement
"0      -0.003
1      -0.002
2      -0.002
3      -0.002
4      -0.002
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.047,-0.000619,0.0025614408532720805,0.027769999999999996,3.4708161479815017e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.029,-0.00038925,0.0015728486579214102,0.010499000000000001,1.3122109736282966e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4       0.000
        ...  
3995   -0.001
3996   -0.003
3997   -0.002
3998   -0.001
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.061,-0.0006065,0.004548882371825873,0.08422000000000002,1.052618422697163e-05,Movement
"0       0.003
1       0.004
2       0.004
3       0.003
4       0.002
        ...  
3995    0.000
3996    0.000
3997    0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.058,-0.0006000000000000001,0.004165733829061051,0.070836,8.85339332583427e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.065,-0.0006085,0.004639623829290402,0.087564,1.0944131983502063e-05,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.007
3996    0.010
3997    0.001
3998   -0.011
3999   -0.014
Name: 2, Length: 4000, dtype: float64",0.065,-0.0006122500000000001,0.004783996403938681,0.09302300000000001,1.1626421697287841e-05,Movement
"0      -0.009
1      -0.004
2      -0.002
3      -0.001
4       0.000
        ...  
3995    0.000
3996    0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.064,-0.000612,0.004588160721324088,0.085682,1.070891138607674e-05,Movement
"0       0.000
1       0.000
2       0.000
3      -0.001
4      -0.001
        ...  
3995    0.009
3996    0.003
3997   -0.001
3998   -0.001
3999    0.007
Name: 2, Length: 4000, dtype: float64",0.072,-0.000605,0.004330376778152242,0.076454,9.555555555555555e-06,Movement
"0       0.012
1       0.006
2      -0.003
3      -0.006
4       0.000
        ...  
3995    0.001
3996    0.000
3997    0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.068,-0.000602,0.0047234175835317695,0.09066999999999999,1.1332333458317708e-05,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4      -0.001
        ...  
3995   -0.001
3996   -0.002
3997   -0.001
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.067,-0.0006045,0.0044278641855087795,0.079866,9.982002249718787e-06,Movement
