Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0       0.001
1       0.000
2       0.000
3      -0.001
4      -0.001
        ...  
3995    0.002
3996    0.001
3997    0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.117,-0.00037625,0.004863856516443833,0.095171,1.1894888138982627e-05,Movement
"0      -0.001
1      -0.002
2      -0.003
3      -0.003
4      -0.004
        ...  
3995    0.001
3996    0.000
3997    0.000
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.046,-0.00036075,0.0032370092670161894,0.042422999999999995,5.302212223472066e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.036,-0.00039025,0.0032490143060611857,0.042823,5.352205974253218e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.001
3996    0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.048,-0.00036975,0.0038417736455556464,0.059569,7.4451943507061616e-06,Movement
"0      -0.001
1       0.000
2       0.001
3       0.001
4       0.002
        ...  
3995   -0.006
3996   -0.003
3997   -0.001
3998    0.001
3999    0.002
Name: 2, Length: 4000, dtype: float64",0.028,-0.0003725,0.0031562215041954656,0.040392,5.0483689538807645e-06,Movement
"0       0.001
1       0.000
2      -0.002
3      -0.003
4      -0.003
        ...  
3995    0.001
3996    0.001
3997    0.000
3998    0.001
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.05,-0.000374,0.0032780040157970973,0.04353,5.440569928758905e-06,Movement
"0       0.001
1       0.001
2       0.001
3       0.000
4       0.000
        ...  
3995   -0.001
3996    0.001
3997    0.001
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.04,-0.00036825,0.003666129029782743,0.054291,6.7855268091488565e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.002
3996   -0.003
3997   -0.002
3998   -0.002
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.029,-0.00038500000000000003,0.003210117009207484,0.041802,5.2245969253843265e-06,Movement
"0      -0.001
1       0.000
2       0.000
3       0.001
4       0.002
        ...  
3995    0.000
3996    0.000
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.033,-0.00038225,0.002987451447980119,0.036275,4.533808273965754e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4      -0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.056,-0.00037975,0.00274188245870503,0.030641,3.829646294213224e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.056,-0.00037425,0.004606679097851037,0.085425,1.0676790401199851e-05,Movement
"0       0.000
1       0.000
2       0.001
3       0.001
4       0.001
        ...  
3995   -0.002
3996   -0.002
3997   -0.001
3998   -0.001
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.031,-0.000384,0.002906571182512094,0.034374,4.296212973378328e-06,Movement
"0       0.002
1       0.002
2       0.002
3       0.002
4       0.002
        ...  
3995   -0.001
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.027,-0.00036125,0.0025899662968569136,0.027347,3.4179477565304336e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.001
3996    0.001
3997    0.001
3998    0.000
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.042,-0.000374,0.0036584792082953515,0.054084,6.75965504311961e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.002
4      -0.002
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.044,-0.00039425,0.0042351270362001175,0.072349,9.042494688163978e-06,Movement
"0       0.000
1      -0.001
2       0.000
3       0.001
4       0.001
        ...  
3995   -0.001
3996   -0.001
3997    0.001
3998    0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.033,-0.00036075,0.002740344286618435,0.030551000000000002,3.818397700287465e-06,Movement
"0       0.000
1       0.001
2       0.001
3       0.001
4       0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.025,-0.00037975,0.002322366957345704,0.022144999999999998,2.767779027621547e-06,Movement
"0      -0.001
1       0.000
2       0.000
3       0.000
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.029,-0.00036875,0.0027071397431416844,0.029851000000000003,3.730908636420448e-06,Movement
"0      -0.001
1       0.000
2       0.000
3      -0.001
4       0.000
        ...  
3995   -0.001
3996   -0.002
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.026,-0.00037625,0.002771390641721635,0.031280999999999996,3.909636295463067e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.003
3996   -0.002
3997   -0.003
3998   -0.003
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.031,-0.00037325,0.0032499346079942993,0.042795,5.348706411698538e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3       0.000
4       0.000
        ...  
3995   -0.001
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.047,-0.00038050000000000003,0.0020292237893580947,0.017046,2.1304836895388076e-06,Movement
"0      -0.004
1      -0.003
2      -0.004
3      -0.004
4      -0.003
        ...  
3995   -0.004
3996   -0.005
3997   -0.004
3998   -0.004
3999   -0.003
Name: 2, Length: 4000, dtype: float64",0.037,-0.000384,0.00419439414404022,0.07094400000000001,8.866891638545183e-06,Movement
"0      -0.003
1      -0.002
2      -0.002
3      -0.001
4      -0.001
        ...  
3995   -0.002
3996   -0.002
3997   -0.002
3998   -0.002
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.019,-0.000359,0.002292036727037663,0.021523999999999998,2.690163729533808e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.001
4       0.000
        ...  
3995   -0.001
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.032,-0.00036175,0.003351894350428442,0.04545299999999999,5.6809148856392945e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.001
4       0.001
        ...  
3995   -0.001
3996   -0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.033,-0.00037150000000000003,0.00370572811404369,0.055467999999999996,6.932633420822397e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.001
4       0.000
        ...  
3995   -0.002
3996   -0.001
3997   -0.001
3998    0.000
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.032,-0.00037075,0.003755039216490201,0.056936999999999995,7.116235470566179e-06,Movement
